a.ns.e.starbucks.com,65.125.54.133
achecker-iad.starbucks.com,98.99.252.166
achecker.starbucks.com,98.99.252.166
acme.starbucks.com,98.99.252.55
activesync-iad2.starbucks.com,98.99.254.99
activesync.starbucks.com,98.99.254.175
airlock.starbucks.com,98.99.254.187
alexa.starbucks.com,98.99.254.147
api.evenings.www.starbucks.com,107.162.135.91
api.starbucks.com,98.99.252.56
app.starbucks.com,104.123.105.42
appcafe-cert.gtm.starbucks.com,98.99.254.170
appcafe-cert.starbucks.com,98.99.254.170
appcafe-dev.starbucks.com,199.233.179.87
appcafe-iad.starbucks.com,98.99.254.134
appcafe.starbucks.com,98.99.254.134
apps.starbucks.com,12.18.141.21
archergrc.starbucks.com,98.99.254.234
assets.scmdev.starbucks.com,98.99.254.231
assets.starbucks.com,92.122.122.146
assetshost.starbucks.com,107.162.135.91
athome.starbucks.com,64.15.191.235
auth-ash.starbucks.com,98.99.254.7
auth-iad.starbucks.com,98.99.252.10
auth.starbucks.com,204.238.150.111
autodiscover.starbucks.com,98.99.254.176
avatars.scmdev.starbucks.com,98.99.254.231
aw.starbucks.com,216.161.14.126
awconsole-cert.starbucks.com,98.99.254.171
b.e.starbucks.com,63.232.57.254
b.ns.e.starbucks.com,65.125.54.134
batchapp-v9-cert.starbucks.com,98.99.250.178
bcassets.starbucks.com,92.122.122.162
beta.starbucks.com,98.99.252.42
bi-cap.starbucks.com,203.189.172.229
bi-cert-mstr-mobile.starbucks.com,98.99.254.143
bi-cert-mstr-web.starbucks.com,98.99.254.142
bi-dc-cert.starbucks.com,98.99.252.189
bi-dc-retail.starbucks.com,98.99.252.190
bi-dev-mstr-mobile.starbucks.com,98.99.254.145
bi-dev-mstr-web.starbucks.com,98.99.254.144
bi-gis-cert.starbucks.com,204.238.150.37
bi-gis-dev.starbucks.com,204.238.150.37
bi-gis.starbucks.com,204.238.150.37
bi-mstr-mobile.starbucks.com,98.99.254.141
bi-mstr-web.starbucks.com,98.99.254.140
bi-sb-mstr-mobile.starbucks.com,98.99.250.168
bi-sb-mstr-web.starbucks.com,98.99.250.167
biuat-cap.starbucks.com,203.189.172.230
blog.starbucks.com,216.87.148.114
blogs.starbucks.com,98.99.252.176
bomgar.starbucks.com,98.99.252.46
bsdtools.community.starbucks.com,64.94.250.5
c.mx.e.starbucks.com,63.148.46.96
c.ns.e.starbucks.com,216.15.189.57
cappromo.starbucks.com,52.77.16.106
cashmgmt-prod.starbucks.com,98.99.254.116
cert.starbucks.com,98.99.254.201
certaccess.starbucks.com,98.99.252.53
certcdhapps-oid.starbucks.com,144.23.238.161
certcdhapps.starbucks.com,144.23.238.134
certcrmasp-dr.starbucks.com,148.87.240.218
certcrmasp.starbucks.com,144.23.239.1
certcrmpospa1-dr.starbucks.com,148.87.129.109
certcrmpospa1.starbucks.com,144.23.238.205
certcrmpospa2-dr.starbucks.com,148.87.129.110
certcrmpospa2.starbucks.com,144.23.238.206
certedam.starbucks.com,98.99.254.112
certedqapps.starbucks.com,144.23.238.156
certltyapps-oid.starbucks.com,148.87.231.187
certltycrmapps-dr.starbucks.com,148.87.129.85
certltycrmapps.starbucks.com,144.23.238.147
certltyupg.starbucks.com,144.23.238.119
certpospa1.starbucks.com,148.87.218.50
certpospa2.starbucks.com,148.87.218.55
certupgpospa1.starbucks.com,144.23.238.181
certupgpospa2.starbucks.com,144.23.238.180
chdlyncedge01.starbucks.com,199.233.179.29
chdlyncweb01.starbucks.com,199.233.179.60
chdlyncwebapp01.starbucks.com,199.233.179.61
checksdn.starbucks.com,92.122.122.152
cheer.starbucks.com,74.206.103.228
cloudapps.starbucks.com,98.99.248.113
cloudappschd.starbucks.com,98.99.248.113
cloudappsemea.starbucks.com,87.102.51.12
cloudappsiad.starbucks.com,98.99.252.128
cloudid-cert.starbucks.com,104.210.40.115
cloudid-dev.starbucks.com,13.92.86.108
cloudid.starbucks.com,23.101.140.203
cms.starbucks.com,98.99.252.57
cmstest.starbucks.com,204.238.150.18
codeload.scmdev.starbucks.com,98.99.254.231
coffeeblogs.starbucks.com,98.99.252.176
communities-ec3.starbucks.com,98.99.252.94
community.mena.starbucks.com,91.246.14.38
community.starbucks.com,216.87.148.114
compass-prod.starbucks.com,98.99.254.101
corporateorders.starbucks.com,216.87.148.114
cpe-help.starbucks.com,98.99.252.46
crl.starbucks.com,98.99.252.50
ctimid-v9-cert.starbucks.com,98.99.250.176
customerservice.starbucks.com,74.117.200.136
d.mx.e.starbucks.com,63.148.46.97
d.ns.e.starbucks.com,216.15.189.58
da-iad.starbucks.com,98.99.254.12
da.starbucks.com,98.99.250.10
da02.starbucks.com,87.102.51.228
da03.starbucks.com,210.73.204.196
departments-ec3.starbucks.com,98.99.252.94
departments.starbucks.com,98.99.252.118
desktop.starbucks.com,98.99.248.111
devcdhapps-oid.starbucks.com,144.23.238.34
devcdhapps.starbucks.com,144.23.238.30
devedqapps.starbucks.com,144.23.238.154
developer.openapi.starbucks.com,50.16.212.215
developer.starbucks.com,50.16.212.215
developers.starbucks.com,216.87.148.114
devltycrmapps.starbucks.com,148.87.129.11
dialin.starbucks.com,199.233.179.60
digital.starbucks.com,216.87.148.114
digitalassets.starbucks.com,92.122.122.161
docs.starbucks.com,98.99.254.67
e.ns.e.starbucks.com,207.251.96.133
e.starbucks.com,8.33.184.254
ebm.e.starbucks.com,65.125.54.106
edam.starbucks.com,98.99.254.188
edge.starbucks.com,199.233.179.90
ehd-help.starbucks.com,98.99.252.46
email.mg.starbucks.com,54.148.200.91
evenings.www.starbucks.com,107.162.135.91
ews.starbucks.com,98.99.254.18
explore.starbucks.com,166.78.36.220
ext-api-rwa.starbucks.com,98.99.254.113
extmgmt.starbucks.com,199.233.179.123
f.e.starbucks.com,63.148.46.58
f.ns.e.starbucks.com,207.251.96.134
fb1.starbucks.com,69.28.231.174
federate.starbucks.com,98.99.252.119
fp.starbucks.com,212.64.142.109
franchisee.starbucks.com,158.255.231.98
fsp.starbucks.com,199.233.179.121
games.starbucks.com,52.6.201.230
gasianet.starbucks.com,42.99.129.17
geo-cert.starbucks.com,98.99.254.204
geo-server-cert.starbucks.com,98.99.254.205
geo.starbucks.com,98.99.254.220
germany.openapi.starbucks.com,50.19.84.17
gist-assets.scmdev.starbucks.com,98.99.254.231
gist-raw.scmdev.starbucks.com,98.99.254.231
gist.scmdev.starbucks.com,98.99.254.231
global.starbucks.com,98.99.252.77
globalassets.starbucks.com,104.69.63.236
globalassetshost.starbucks.com,107.162.135.91
globalsecureui.starbucks.com,98.99.252.122
globalstage.starbucks.com,98.99.252.42
globalstagewcmsvcs.starbucks.com,204.238.150.32
globalwcmsvcs.starbucks.com,98.99.252.62
gr.starbucks.com,216.87.148.114
green.starbucks.com,107.162.134.102
groupon.starbucks.com,52.72.70.22
help.starbucks.com,98.99.252.46
host.openapi.starbucks.com,98.99.252.64
hybrid.starbucks.com,98.99.254.177
hybrisdevmail.starbucks.com,209.202.184.148
hybrisprodmail.starbucks.com,209.202.184.147
hybrisstgmail.starbucks.com,209.202.184.146
icommerceagent.starbucks.com,192.157.74.131
id-cert.starbucks.com,98.99.254.41
id-dev.starbucks.com,98.99.254.40
id.starbucks.com,98.99.254.9
ideas.starbucks.com,98.99.252.176
ie.starbucks.com,216.87.148.114
inmail-kyn.starbucks.com,87.102.51.9
insight.starbucks.com,98.99.254.157
intl.starbucks.com,98.99.252.57
investor.starbucks.com,69.172.200.241
invoice-test.starbucks.com,199.233.179.96
